feature,weight
មិន,2.145632
យឺត,1.257039
ធុញ,1.141612
ិនស,1.097771
្លៃ,1.035750
្មាន,1.009272
គ្មាន,0.993710
គ្ម,0.993710
គ្មា,0.993710
បាក,0.964382
មិនស,0.957405
បាត,0.897486
ខឹង,0.888499
ខូច,0.879894
បោក,0.877424
ថ្លៃ,0.865720
ខុស,0.837668
បាត់,0.828359
ផ្ល,0.793325
ថ្ល,0.775156
្មា,0.759077
្លូ,0.745208
លូវ,0.745208
ផ្លូ,0.745208
្លូវ,0.745208
ផ្លូវ,0.745208
អន់,0.739888
ខកចិត,0.726966
ខកចិ,0.726966
ខកច,0.726966
ឯកោ,0.716144
យូរ,0.712512
ស្ទ,0.710806
ហឹរ,0.700467
រំខ,0.692826
រំខាន,0.692826
រំខា,0.692826
សាប,0.681961
បំព,0.668597
បង់,0.668577
ការ,0.667160
ស្ទះ,0.664303
បាក់,0.657928
ទំនិញ,0.655720
ំនិញ,0.655720
និញ,0.655720
ទំនិ,0.655720
ារប,0.645388
កចិ,0.644145
កចិត្,0.644145
្លៀ,-0.363347
ក្ស,-0.367348
ជិះ,-0.369116
មិត្,-0.369237
មិត,-0.369237
មិត្ត,-0.369237
ហែល,-0.376098
ផ្ទះ,-0.376442
ផ្ទ,-0.376442
ពាក់,-0.376614
ទិញ,-0.389286
ឆ្មា,-0.390002
គំន,-0.394357
្រឡ,-0.398846
សរស,-0.401160
និត,-0.401258
អាវ,-0.404110
្រស,-0.410912
ភ្ល,-0.411836
សៀវភ,-0.415867
ៀវភ,-0.415867
ៀវភៅ,-0.415867
សៀវភៅ,-0.415867
សៀវ,-0.415867
វភៅ,-0.415867
ិស្,-0.420501
ស្ស,-0.423285
ត្រ,-0.430921
ផឹក,-0.449959
្អា,-0.454851
្ងា,-0.457021
អាន,-0.469175
ព្រ,-0.470724
ស្អា,-0.480826
្អាត,-0.497078
ន្ត,-0.511311
យើង,-0.511769
ស្អាត,-0.523488
សួន,-0.558822
្រូ,-0.571033
ពុង,-0.608657
កំពុ,-0.608657
កំពុង,-0.608657
ំពុង,-0.608657
កំព,-0.633216
ស្រ,-0.647260
ជួយ,-0.653766
លេង,-0.712826
រៀន,-0.719072
ល្អ,-1.152722
