feature,weight
អាច,0.385015
មធ្យ,0.329469
មធ្យម,0.329469
ធ្យ,0.329469
ធ្យម,0.329469
យម ,0.329469
ធ្យម ,0.329469
្យម ,0.329469
្យម,0.329469
្រើ,0.289411
 តែ,0.286602
មធ្,0.286407
មិនមា,0.276582
ិនមាន,0.276582
ិនមា,0.276582
ិនម,0.276582
មិនម,0.276582
ន្ត,0.248154
នមាន,0.245998
បន្,0.244931
្យ ,0.239934
ម្យ ,0.239934
រម្យ ,0.239934
សម្,0.239362
មតា ,0.224970
តា ,0.224970
មតា,0.224970
ម្មតា,0.224970
្មតា,0.224970
ម្មត,0.224970
្មត,0.224970
្មតា ,0.224970
ធម្មត,0.224970
ធម្ម,0.224970
ធម្,0.224970
ក៏ម,0.223825
 ក៏ម,0.223825
 ក៏,0.223825
 ក៏មិ,0.223825
ក៏មិន,0.223825
៏មិ,0.223825
៏មិន,0.223825
ក៏មិ,0.223825
រើបាន,0.222060
រើបា,0.222060
្រើបា,0.222060
ម្រ,0.220096
មាន,0.217785
ានអ្,0.216335
ានអ្វ,0.216335
ណាស់,-0.124774
នបា,-0.125730
នបាន,-0.125730
គុណ,-0.127714
រកា,-0.128377
ើរកា,-0.128377
ើរការ,-0.128377
រការ,-0.128377
ើរក,-0.128377
ាត់,-0.129416
ជាម,-0.130417
វាកម,-0.132938
ាកម្ម,-0.132938
ាកម្,-0.132938
េវាកម,-0.132938
វាកម្,-0.132938
ហើយ,-0.141888
សេវ,-0.145147
េវា,-0.145147
សេវា,-0.145147
ខូច,-0.146152
ំទ្រ,-0.148977
ាំទ្រ,-0.148977
ំទ្,-0.148977
គាំទ,-0.148977
គាំទ្,-0.148977
ទ្រ,-0.148977
ាំទ្,-0.148977
គាំ,-0.148977
ារទ,-0.151638
សេវាក,-0.153063
េវាក,-0.153063
វាក,-0.153063
ាប់,-0.155337
ល្អ ,-0.160310
្អ ,-0.160310
ពិត,-0.161122
ាំទ,-0.171446
ភាព,-0.171936
្រោ,-0.172900
ាក់,-0.181586
មិនស,-0.188886
ិនស,-0.188886
កម្ម,-0.202182
ទំន,-0.239248
ល្អ,-0.257928
 និ,-0.299767
និង,-0.299767
 និង,-0.299767
ការ,-0.300765
