feature,weight
ល្អ,0.656697
្រោ,0.348712
ល្អ ,0.344896
្អ ,0.344896
ពិត,0.314521
និង,0.241389
 និ,0.241389
 និង,0.241389
ឹងទ,0.229078
ាស់,0.225305
ទាន,0.220045
ទាន់,0.220045
យស្រ,0.213893
យស្,0.213893
លឿន,0.210567
ងាយ,0.210304
ភាព,0.204915
ខុស,0.200931
យ៉ា,0.199429
៉ាង,0.199429
យ៉ាង,0.199429
ញុំ,0.198983
្ញុ,0.198983
្ញុំ,0.198983
ខ្ញ,0.198983
ខ្ញុ,0.198983
ខ្ញុំ,0.198983
ងមា,0.195231
ឹងមាំ,0.195231
ឹងមា,0.195231
ឹងម,0.195231
មាំ,0.195231
រឹង,0.195231
រឹងមា,0.195231
ងមាំ,0.195231
រឹងម,0.195231
 និងរ,0.194929
និងរ,0.194929
ិងរ,0.194929
ិងស,0.178827
 និងស,0.178827
និងស,0.178827
ពេញ,0.176170
ាងដ,0.174716
ពល្,0.173319
ពល្អ,0.173319
ភាពល,0.173319
ភាពល្,0.173319
ាពល្អ,0.173319
ណភាពល,0.173319
ខកច,-0.148171
ពេល,-0.148534
 តែ,-0.152526
ង់ដ,-0.153144
ពេក,-0.158710
មិនស,-0.160433
ិនស,-0.160433
្យម,-0.161102
យម ,-0.161102
ធ្យ,-0.161102
្យម ,-0.161102
ធ្យម ,-0.161102
មធ្យ,-0.161102
ធ្យម,-0.161102
មធ្យម,-0.161102
ទូទ,-0.163083
រមួ,-0.163539
រមួយ,-0.163539
ន្ត,-0.165651
ានកា,-0.168208
នការ,-0.168208
នកា,-0.168208
មានក,-0.168208
ានការ,-0.168208
មានកា,-0.168208
្លៃ,-0.170383
មាន,-0.172414
បាក,-0.181721
ានក,-0.183306
្មា,-0.190769
ការ,-0.197964
 មិន,-0.198930
 មិ,-0.198930
មធ្,-0.200591
មិនអ,-0.201724
ិនអ,-0.201724
មួយ,-0.202276
បញ្,-0.203237
្ហា,-0.208319
ញ្ហា,-0.208319
បញ្ហា,-0.208319
បញ្ហ,-0.208319
ញ្ហ,-0.208319
គ្មាន,-0.223420
គ្មា,-0.223420
គ្ម,-0.223420
្មាន,-0.223420
អាច,-0.241123
យឺត,-0.292225
មិន,-0.536866
